,data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
0,2023-11-04 19:06:32.581990,Viva Real,2653994953,"Apartamento com 3 Quartos para Aluguel, 196m²","Campeche, Florianópolis - SC",,,Campeche,florianopolis,13800,Mês,1267,196,3,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-196m2-aluguel-RS13800-id-2653994953/,Piscina; Mobiliado; Churrasqueira; Varanda; Garagem; ...
1,2023-11-04 19:06:32.584034,Viva Real,2534387090,"Ponto comercial/Loja/Box    para Aluguel, 15m²","Rua Tenente Silveira, 111 - Centro, Florianópolis - SC",Rua Tenente Silveira,111, Centro,florianopolis,720,Mês,,15,,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-15m2-aluguel-RS720-id-2534387090/,Elevador
2,2023-11-04 19:06:32.586062,Viva Real,2650543630,"Sala/Conjunto    para Aluguel, 110m²","Vargem do Bom Jesus, Florianópolis - SC",,,Vargem do Bom Jesus,florianopolis,11000,Mês,,110,4,,4,https://vivareal.com.br/imovel/sala-comercial-vargem-do-bom-jesus-bairros-florianopolis-com-garagem-110m2-aluguel-RS11000-id-2650543630/,
3,2023-11-04 19:06:32.587786,Viva Real,2443355410,"Apartamento com 2 Quartos para Aluguel, 90m²","Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,680,Dia,,90,3,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-90m2-aluguel-RS680-id-2443355410/,Piscina; Mobiliado; Condomínio fechado; Garagem; Ar-condicionado; ...
4,2023-11-04 19:06:32.589459,Viva Real,2649102856,"Galpão/Depósito/Armazém    para Aluguel, 293m²","Rodovia Virgílio Várzea, 187 - Saco Grande, Florianópolis - SC",Rodovia Virgílio Várzea,187, Saco Grande,florianopolis,19998,Mês,,293,2,,,https://vivareal.com.br/imovel/galpao-deposito-armazem-saco-grande-bairros-florianopolis-293m2-aluguel-RS19998-id-2649102856/,
5,2023-11-04 19:06:32.591320,Viva Real,2653010541,"Apartamento com 3 Quartos para Aluguel, 87m²","Rua Orlando Odilio Koerich, 307 - Jardim Atlântico, Florianópolis - SC",Rua Orlando Odilio Koerich,307, Jardim Atlântico,florianopolis,3900,Mês,1201,87,5,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-87m2-aluguel-RS3900-id-2653010541/,Piscina; Academia; Espaço gourmet; Garagem; Playground; ...
6,2023-11-04 19:06:32.593237,Viva Real,2655368968,"Sala/Conjunto    para Aluguel, 47m²","Rua Manoel Severino de Oliveira, 371 - Lagoa da Conceição, Florianópolis - SC",Rua Manoel Severino de Oliveira,371, Lagoa da Conceição,florianopolis,3000,Mês,,47,,,,https://vivareal.com.br/imovel/sala-comercial-lagoa-da-conceicao-bairros-florianopolis-47m2-aluguel-RS3000-id-2655368968/,
7,2023-11-04 19:06:32.594937,Viva Real,2662655577,"Prédio/Edificio inteiro    para Aluguel, 5000m²","Rua Iracema Nunes da Silva, 60 - Trindade, Florianópolis - SC",Rua Iracema Nunes da Silva,60, Trindade,florianopolis,240000,Mês,,5000,1,,1,https://vivareal.com.br/imovel/predio-comercial-trindade-bairros-florianopolis-com-garagem-5000m2-aluguel-RS240000-id-2662655577/,Elevador; Jardim
8,2023-11-04 19:06:32.596690,Viva Real,2639390249,"Apartamento com 2 Quartos para Aluguel, 152m²","Avenida Governador Irineu Bornhausen, 3440 - Agronômica, Florianópolis - SC",Avenida Governador Irineu Bornhausen,3440, Agronômica,florianopolis,8500,Mês,1300,152,3,2,2,https://vivareal.com.br/imovel/apartamento-2-quartos-agronomica-bairros-florianopolis-com-garagem-152m2-aluguel-RS8500-id-2639390249/,Churrasqueira; Elevador; Interfone; Mobiliado; Área de serviço
9,2023-11-04 19:06:32.598403,Viva Real,2651720750,"Casa com 2 Quartos para Aluguel, 115m²","Campeche, Florianópolis - SC",,,Campeche,florianopolis,4500,Mês,,115,2,2,1,https://vivareal.com.br/imovel/casa-2-quartos-campeche-bairros-florianopolis-com-garagem-115m2-aluguel-RS4500-id-2651720750/,Varanda; Cozinha; Vista para o mar; Varanda gourmet
