data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
2023-11-07 15:33:39.121774,Vivareal,2660294130,"Apartamento com 3 Quartos para Aluguel, 88m²","Rua Desembargador Gil Costa, 310 - Capoeiras, Florianópolis - SC",Rua Desembargador Gil Costa,310.0, Capoeiras,florianopolis,1900,Mês,529.0,88.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-88m2-aluguel-RS1900-id-2660294130/,Área de serviço
2023-11-07 15:33:39.123480,Vivareal,2665127408,"Sala/Conjunto    para Aluguel, 42m²","Rua Vidal Ramos, 53 - Centro, Florianópolis - SC",Rua Vidal Ramos,53.0, Centro,florianopolis,1100,Mês,,42.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-42m2-aluguel-RS1100-id-2665127408/,
2023-11-07 15:33:39.125097,Vivareal,2666598223,"Ponto comercial/Loja/Box    para Aluguel, 30m²","Centro, Florianópolis - SC",,,Centro,florianopolis,2200,Mês,,30.0,1.0,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-30m2-aluguel-RS2200-id-2666598223/,
2023-11-07 15:33:39.126531,Vivareal,2644853558,"Apartamento com 2 Quartos para Aluguel, 72m²","Avenida Buriti, 620 - Itacorubi, Florianópolis - SC",Avenida Buriti,620.0, Itacorubi,florianopolis,3800,Mês,533.0,72.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-72m2-aluguel-RS3800-id-2644853558/,Churrasqueira; Elevador; Varanda; Academia; Espaço gourmet; ...
2023-11-07 15:33:39.128027,Vivareal,2627617160,"Sala/Conjunto    para Aluguel, 90m²","Rua Lauro Linhares, 728 - Trindade, Florianópolis - SC",Rua Lauro Linhares,728.0, Trindade,florianopolis,2600,Mês,,90.0,1.0,,2.0,https://vivareal.com.br/imovel/sala-comercial-trindade-bairros-florianopolis-com-garagem-90m2-aluguel-RS2600-id-2627617160/,
2023-11-07 15:33:39.129261,Vivareal,2664804925,"Cobertura com 2 Quartos para Aluguel, 115m²","Rua Paul Percival Harris - Estreito, Florianópolis - SC",Rua Paul Percival Harris ,, Estreito,florianopolis,3500,Mês,680.0,115.0,2.0,2.0,2.0,https://vivareal.com.br/imovel/cobertura-2-quartos-estreito-bairros-florianopolis-com-garagem-115m2-aluguel-RS3500-id-2664804925/,Churrasqueira; Aceita animais; Garagem; Ar-condicionado; Varanda gourmet; ...
2023-11-07 15:33:39.130491,Vivareal,2658953118,"Sala/Conjunto    para Aluguel, 210m²","Saco Grande, Florianópolis - SC",,,Saco Grande,florianopolis,14731,Mês,,210.0,2.0,,4.0,https://vivareal.com.br/imovel/sala-comercial-saco-grande-bairros-florianopolis-com-garagem-210m2-aluguel-RS14731-id-2658953118/,
2023-11-07 15:33:39.131695,Vivareal,2658658081,"Apartamento com 4 Quartos para Aluguel, 143m²","Avenida Santa Catarina, 1556 - Balneário, Florianópolis - SC",Avenida Santa Catarina,1556.0, Balneário,florianopolis,4900,Mês,990.0,143.0,2.0,4.0,2.0,https://vivareal.com.br/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-143m2-aluguel-RS4900-id-2658658081/,Piscina; Mobiliado; Churrasqueira; Elevador; Aceita animais; ...
2023-11-07 15:33:39.132871,Vivareal,2665051781,"Sala/Conjunto    para Aluguel, 26m²","Centro, Florianópolis - SC",,,Centro,florianopolis,650,Mês,,26.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-26m2-aluguel-RS650-id-2665051781/,Piscina; Churrasqueira; Condomínio fechado; Jardim; Playground; ...
2023-11-07 15:33:39.134104,Vivareal,2665082018,"Ponto comercial/Loja/Box    para Aluguel, 97m²","Rua Araci Vaz Callado, 2091 - Coloninha, Florianópolis - SC",Rua Araci Vaz Callado,2091.0, Coloninha,florianopolis,2600,Mês,,97.0,,,1.0,https://vivareal.com.br/imovel/ponto-comercial-coloninha-bairros-florianopolis-com-garagem-97m2-aluguel-RS2600-id-2665082018/,
2023-11-07 15:33:39.135208,Vivareal,2665099607,"Apartamento com 3 Quartos para Aluguel, 72m²","Rua Doutor Abel Capela, 436 - Coqueiros, Florianópolis - SC",Rua Doutor Abel Capela,436.0, Coqueiros,florianopolis,2700,Mês,438.0,72.0,1.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-72m2-aluguel-RS2700-id-2665099607/,Interfone; Área de serviço
2023-11-07 15:33:39.136325,Vivareal,2658814953,"Prédio/Edificio inteiro    para Aluguel, 701m²","Carvoeira, Florianópolis - SC",,,Carvoeira,florianopolis,43000,Mês,,701.0,,,,https://vivareal.com.br/imovel/predio-comercial-carvoeira-bairros-florianopolis-701m2-aluguel-RS43000-id-2658814953/,
2023-11-07 15:33:39.137519,Vivareal,2663795227,Apartamento com 3 Quartos para Venda/Aluguel 93m²,"Rua Pastor William Richard Schisler Filho, 1128 - Itacorubi, Florianópolis - SC",Rua Pastor William Richard Schisler Filho,1128.0, Itacorubi,florianopolis,3700,Mês,850.0,93.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-93m2-venda-RS930000-id-2663795227/,Salão de festas; Garagem
2023-11-07 15:33:39.138732,Vivareal,2650444280,"Apartamento com 2 Quartos para Aluguel, 83m²","Rua Pastor William Richard Schisler Filho, 754 - Itacorubi, Florianópolis - SC",Rua Pastor William Richard Schisler Filho,754.0, Itacorubi,florianopolis,2950,Mês,650.0,83.0,2.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-83m2-aluguel-RS2950-id-2650444280/,Elevador; Varanda gourmet
2023-11-07 15:33:39.139887,Vivareal,2519809573,"Sala/Conjunto    para Aluguel, 30m²","Rua Anita Garibaldi, 79 - Centro, Florianópolis - SC",Rua Anita Garibaldi,79.0, Centro,florianopolis,590,Mês,,30.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-30m2-aluguel-RS590-id-2519809573/,
2023-11-07 15:33:39.141052,Vivareal,2664750796,"Apartamento com  Quarto para Aluguel, 35m²","Vargem do Bom Jesus, Florianópolis - SC",,,Vargem do Bom Jesus,florianopolis,1600,Mês,,35.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-vargem-do-bom-jesus-bairros-florianopolis-com-garagem-35m2-aluguel-RS1600-id-2664750796/,
2023-11-07 15:33:39.142217,Vivareal,2666237699,"Ponto comercial/Loja/Box    para Aluguel, 50m²","Abraão, Florianópolis - SC",,,Abraão,florianopolis,5000,Mês,,50.0,1.0,,,https://vivareal.com.br/imovel/ponto-comercial-abraao-bairros-florianopolis-50m2-aluguel-RS5000-id-2666237699/,
2023-11-07 15:33:39.143228,Vivareal,2665085515,"Sala/Conjunto    para Aluguel, 28m²","Avenida Santa Catarina - Balneário, Florianópolis - SC",Avenida Santa Catarina ,, Balneário,florianopolis,1400,Mês,,28.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-balneario-bairros-florianopolis-com-garagem-28m2-aluguel-RS1400-id-2665085515/,Garagem; Cozinha
2023-11-07 15:33:39.144410,Vivareal,2661654357,"Sala/Conjunto    para Aluguel, 30m²","Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",Avenida Professor Othon Gama D'Eça ,, Centro,florianopolis,1800,Mês,,30.0,1.0,,1.0,https://vivareal.com.br/imovel/centro-bairros-florianopolis-com-garagem-30m2-aluguel-RS1800-id-2661654357/,Garagem; Cozinha
2023-11-07 15:33:39.145588,Vivareal,2654258047,"Ponto comercial/Loja/Box    para Aluguel, 27m²","Rua Deputado Antônio Edu Vieira, 630 - Pantanal, Florianópolis - SC",Rua Deputado Antônio Edu Vieira,630.0, Pantanal,florianopolis,2700,Mês,,27.0,,,,https://vivareal.com.br/imovel/ponto-comercial-pantanal-bairros-florianopolis-27m2-aluguel-RS2700-id-2654258047/,
2023-11-07 15:33:39.146748,Vivareal,2666531445,"Apartamento com 3 Quartos para Aluguel, 112m²","Centro, Florianópolis - SC",,,Centro,florianopolis,4100,Mês,1100.0,112.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-112m2-aluguel-RS4100-id-2666531445/,Churrasqueira; Elevador; Garagem; Ar-condicionado; Área de serviço; ...
2023-11-07 15:33:39.147879,Vivareal,2665666605,"Apartamento com 2 Quartos para Aluguel, 65m²","Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",Rodovia Amaro Antônio Vieira ,, Itacorubi,florianopolis,3500,Mês,425.0,65.0,1.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-65m2-aluguel-RS3500-id-2665666605/,Mobiliado; Churrasqueira; Elevador; Condomínio fechado; Aceita animais; ...
2023-11-07 15:33:39.149022,Vivareal,2666186094,"Apartamento com  Quarto para Aluguel, 16m²","Avenida César Seara, 174 - Carvoeira, Florianópolis - SC",Avenida César Seara,174.0, Carvoeira,florianopolis,2421,Mês,439.0,16.0,1.0,1.0,1.0,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-16m2-aluguel-RS2421-id-2666186094/,Mobiliado; Churrasqueira; Elevador; Academia; Aceita animais; ...
