,data,fonte,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url
0,2023-10-26 14:03:29.900975,Viva Real,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Lauro Linhares, 1520 , Trindade, Florianópolis , SC",Rua Lauro Linhares,1520, Trindade,florianopolis,         2900 ,Mês,750,110,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-110m2-aluguel-RS2900-id-2664501915/
1,2023-10-26 14:03:29.905241,Viva Real,"Apartamento com  Quarto para Aluguel, 58m²","Rua Osvaldo Cruz, 137 , Balneario do Estreito, Florianópolis , SC",Rua Osvaldo Cruz,137, Balneario do Estreito,florianopolis,         1700 ,Mês,390,58,1,1,1,https://vivareal.com.br/imovel/apartamento-1-quartos-balneario-do-estreito-bairros-florianopolis-com-garagem-58m2-aluguel-RS1700-id-2664478805/
2,2023-10-26 14:03:29.911438,Viva Real,"Casa com 3 Quartos para Aluguel, 245m²","Rua da Corticeira da Serra, 51 , Cachoeira do Bom Jesus, Florianópolis , SC",Rua da Corticeira da Serra,51, Cachoeira do Bom Jesus,florianopolis,         2400 ,Dia,,245,4,3,,https://vivareal.com.br/imovel/casa-3-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-245m2-aluguel-RS2400-id-2664468509/
3,2023-10-26 14:03:29.916984,Viva Real,"Casa com 2 Quartos para Aluguel, 110m²","Rua Recanto do Beija,Flor, 128 , Campeche, Florianópolis , SC",Rua Recanto do Beija,128, Campeche,florianopolis,         4700 ,Mês,,110,6,2,2,https://vivareal.com.br/imovel/casa-2-quartos-campeche-bairros-florianopolis-com-garagem-110m2-aluguel-RS4700-id-2664505331/
4,2023-10-26 14:03:29.922078,Viva Real,"Apartamento com  Quarto para Aluguel, 35m²","Rua Maria Eduarda, 238 , Pantanal, Florianópolis , SC",Rua Maria Eduarda,238, Pantanal,florianopolis,         2950 ,Mês,610,35,1,1,,https://vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-35m2-aluguel-RS2950-id-2664482912/
5,2023-10-26 14:03:29.927075,Viva Real,"Casa com 3 Quartos para Aluguel, 200m²","Rodovia Virgílio Várzea, 4690 , Canasvieiras, Florianópolis , SC",Rodovia Virgílio Várzea,4690, Canasvieiras,florianopolis,         1600 ,Dia,,200,3,3,2,https://vivareal.com.br/imovel/casa-de-condominio-3-quartos-canasvieiras-bairros-florianopolis-com-garagem-200m2-aluguel-RS1600-id-2663423402/
6,2023-10-26 14:03:29.932300,Viva Real,"Apartamento com 3 Quartos para Aluguel, 99m²","Carianos, Florianópolis , SC",Carianos,,Carianos,florianopolis,         3400 ,Mês,250,99,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-carianos-bairros-florianopolis-com-garagem-99m2-aluguel-RS3400-id-2664501171/
7,2023-10-26 14:03:29.937344,Viva Real,"Cobertura com 3 Quartos para Aluguel, 240m²","Rua Laurindo Januário da Silveira, 947 , Canto da Lagoa, Florianópolis , SC",Rua Laurindo Januário da Silveira,947, Canto da Lagoa,florianopolis,         5500 ,Mês,1.200,240,3,3,2,https://vivareal.com.br/imovel/cobertura-3-quartos-canto-da-lagoa-bairros-florianopolis-com-garagem-240m2-aluguel-RS5500-id-2664501914/
8,2023-10-26 14:03:29.942322,Viva Real,"Apartamento com 3 Quartos para Aluguel, 80m²","Canto, Florianópolis , SC",Canto,,Canto,florianopolis,         4000 ,Mês,736,80,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-canto-bairros-florianopolis-com-garagem-80m2-aluguel-RS4000-id-2664413295/
9,2023-10-26 14:03:29.947181,Viva Real,"Apartamento com 2 Quartos para Aluguel, 60m²","Ribeirão da Ilha, Florianópolis , SC",Ribeirão da Ilha,,Ribeirão da Ilha,florianopolis,         4500 ,Mês,350,60,3,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-ribeirao-da-ilha-bairros-florianopolis-com-garagem-60m2-aluguel-RS4500-id-2664488601/
